date,milestone,type
2020-01-11,China reports first COVID-19 death,
2020-01-21,First confirmed COVID-19 case in the U.S.,
2020-01-30,The W.H.O. declares a global health emergency,
2020-02-29,First reported COVID-19 death in the U.S.,
2020-03-01,First COVID-19 case in New York State,
2020-03-07,NY Governor Andrew Cuomo declares a state of emergency,
2020-03-08,"NYC issues guidelines to avoid densely packed buses, subways, or trains",1
2020-03-10,Governor Cuomo orders containment zone in New Rochelle from March 12 to 25,
2020-03-12,Events with more than 500 people must be cancelled or postponed,
2020-03-12,Broadway shuts down,1
2020-03-13,President Trump declares a national emergency,
2020-03-14,First two COVID-19 deaths in NYS,
2020-03-15,C.D.C. recommendeds no gatherings of 50+ in the U.S.,1
2020-03-16,NYC public schools close,
2020-03-17,"NYC bars and restaurants close, except for delivery",1
2020-03-22,"NYS on Pause Program begins, all non-essential workers must stay home",
2020-03-30,USNS Comfort arrives in NYC,
2020-03-27,President signs the CARES Act,
2020-03-27,U.S. reaches the most COVID-19 cases in the world,
2020-03-28,Governor Cuomo halts all nonessential construction sites in NYS,
2020-03-31,"NYC passes 1,000 COVID-19 deaths",
2020-04-06,Governor Cuomo extends NYS's stay-at-home order and school closures to April 29,
2020-04-10,NYS records more COVID19 cases than any other country (besides U.S.),
2020-04-15,Governor Cuomo requires face masks or coverings in public places,
2020-04-16,Governor Cuomo extends NYS's stay-at-home order and school closures to May 15,1
2020-04-30,Governor Cuomo announces NYC subway closures from 1 a.m. to 5 a.m.,1
2020-05-01,Governor Cuomo closes all schools for the remainder of the academic year,
2020-05-07,"Governor Cuomo extends PAUSE order to June 6, but will allow counties to open by May 15 if they meet qualifications",
2020-05-14,Governor Cuomo extends PAUSE order to May 28 for NYC and regions not meeting requirements to reopen,
2020-05-14,State of emergency for NYS extended to June 13,
2020-05-15,"Governor Cuomo allows drive-in theaters, landscaping, and low-risk recreational activities to reopen",
2020-05-23,Governor Cuomo allows gatherings of up to 10 people with social distancing,2
2020-05-27,"U.S. COVID-19 deaths pass 100,000",2
2020-06-08,NYC begins Phase 1 reopening,
2020-06-24,"NY, NJ and CT require travelers to self-quarantine for 14 days if traveling from hot spots",
2020-06-22,NYC begins phase 2 of reopening,2
2020-07-06,"U.S. COVID-19 deaths surpass 130,000",
2020-07-06,"NYC begins Phase 3 of reopening, without indoor dining",2
2020-07-19,"NYC begins Phase 4 reopening, excluding malls, museums and indoor dining/bars",2
2020-07-24,"NYC reports 227,517 COVID-19 cases and 22,934 deaths to date",
2020-08-04,"NYC's health commissioner, Dr. Oxiris Barbot, resigns after voicing “deep disappointment” with Mayor Bill de Blasio’s handling of the pandemic",
2020-09-02,"Gyms in NYC reopen, but indoor group workouts and pools stay closed",
2020-09-08,"Sheriff deputies begin stopping buses headed to Port Authority from hot spots, requiring quarantine forms to be signed",
2020-09-09,Malls in NYC reopen at 50% capacity with no indoor dining. Casinos reopen across NYS at 25% capacity.,2
2020-09-16,"Mayor de Blasio furloughs his City Hall staff, including himself",
2020-09-21,Pre-K and advanced special-needs classes begin in-person learning in NYC,
2020-09-27,"The union representing NYC principals and school administrators delivers a unanimous ""no confidence"" vote days before students are set to return to schools",
2020-09-29,Elementary students return to public school classrooms across NYC,
2020-09-30,Indoor dining in NYC resumes with a 25% occupancy limit,2
2020-10-01,NYC middle and high schools begin in-person learning.,
2020-10-02,President Donald Trump and first lady Melania Trump test positive for coronavirus,
2020-10-04,"Mayor de Blasio says all schools and non-essential businesses will close in nine zip codes in Brooklyn and Queens, if approved by the state",
2020-10-05,"NYC reports 252,000 COVID-19 cases and 23,861 deaths to date",
2020-10-20,40 U.S. hotspots are on the New York quarantine list,
2020-10-28,New York tops a half-million confirmed COVID-19 cases,
2020-11-13,"New COVID-19 restrictions go into effect, including curfews on restaurants and gyms, and limited gatherings in private homes of 10 people",
2020-11-19,NYC schools switch to all-remote,
2020-11-21,Restrictions on indoor dining are renewed in NYC,
2020-12-07,NYC elementary schools reopen for in-person learning,
2020-12-14,"Cuomo suspends indoor dining in NYC, and the U.S. administers its first COVID-19 vaccine",1
2021-02-11,Restaurants reopen indoor dining at 25% capacity,
2021-02-14,New Yorkers with underlying conditions become eligible for COVID-19 vaccine,
2021-02-15,NYC middle schools resume in-person learning,
2021-03-05,NYC movie theaters reopen,2
2021-03-22,NYC high schools reopen for in-person learning,
2021-03-30,New Yorkers age 30 and up are eligible for a vaccine,
2021-04-06,New Yorkers age 16 and up are eligible for a vaccine,
